	class	kingdom	order	phylum
OTU_1134	Flavobacteriia	Bacteria	Flavobacteriales	Bacteroidetes
OTU_1135	Alphaproteobacteria	Bacteria	Rhodobacterales	Proteobacteria
OTU_1136	Flavobacteriia	Bacteria	Flavobacteriales	Bacteroidetes
OTU_1137	[Saprospirae]	Bacteria	[Saprospirales]	Bacteroidetes
OTU_1138				
OTU_114	Betaproteobacteria	Bacteria	Burkholderiales	Proteobacteria
OTU_1140				
OTU_1142	Gammaproteobacteria	Bacteria	Enterobacteriales	Proteobacteria
OTU_1144	Flavobacteriia	Bacteria	Flavobacteriales	Bacteroidetes
OTU_1147	Betaproteobacteria	Bacteria	Neisseriales	Proteobacteria
OTU_1148	[Spartobacteria]	Bacteria	[Chthoniobacterales]	Verrucomicrobia
OTU_115	Flavobacteriia	Bacteria	Flavobacteriales	Bacteroidetes
OTU_1150				
OTU_1153	Chloroplast	Bacteria	Chlorophyta	Cyanobacteria
OTU_1154	Cytophagia	Bacteria	Cytophagales	Bacteroidetes
OTU_1156	PBS-25	Bacteria		OP3
OTU_1157	Solibacteres	Bacteria	Solibacterales	Acidobacteria
OTU_1158				
OTU_1159	Gammaproteobacteria	Bacteria	Alteromonadales	Proteobacteria
OTU_116	Betaproteobacteria	Bacteria	Burkholderiales	Proteobacteria
OTU_1160	Alphaproteobacteria	Bacteria	Sphingomonadales	Proteobacteria
OTU_1162	Chloroplast	Bacteria	Stramenopiles	Cyanobacteria
OTU_1163	Cytophagia	Bacteria	Cytophagales	Bacteroidetes
OTU_1165	[Saprospirae]	Bacteria	[Saprospirales]	Bacteroidetes
OTU_1167	Alphaproteobacteria	Bacteria	Caulobacterales	Proteobacteria
OTU_1168	Alphaproteobacteria	Bacteria	Rhodobacterales	Proteobacteria
OTU_117	Acidimicrobiia	Bacteria	Acidimicrobiales	Actinobacteria
OTU_1170	Cytophagia	Bacteria	Cytophagales	Bacteroidetes
OTU_1171				
OTU_1174	Alphaproteobacteria	Bacteria	Rhodospirillales	Proteobacteria
OTU_1176	Alphaproteobacteria	Bacteria		Proteobacteria
OTU_1179	Planctomycetia	Bacteria	Planctomycetales	Planctomycetes
OTU_118				
OTU_1180	Cytophagia	Bacteria	Cytophagales	Bacteroidetes
OTU_1182	Alphaproteobacteria	Bacteria	Rickettsiales	Proteobacteria
OTU_1183	Alphaproteobacteria	Bacteria	Rhodobacterales	Proteobacteria
OTU_1187	Betaproteobacteria	Bacteria	Burkholderiales	Proteobacteria
OTU_1189	Betaproteobacteria	Bacteria	Rhodocyclales	Proteobacteria
OTU_119	Actinobacteria	Bacteria	Actinomycetales	Actinobacteria
OTU_1190	Gammaproteobacteria	Bacteria	Pseudomonadales	Proteobacteria
OTU_1191	Chloroplast	Bacteria	Stramenopiles	Cyanobacteria
OTU_1192	Betaproteobacteria	Bacteria	Burkholderiales	Proteobacteria
OTU_1194	Flavobacteriia	Bacteria	Flavobacteriales	Bacteroidetes
OTU_1195	Flavobacteriia	Bacteria	Flavobacteriales	Bacteroidetes
OTU_1196	Alphaproteobacteria	Bacteria	BD7-3	Proteobacteria
OTU_1197	Acidimicrobiia	Bacteria	Acidimicrobiales	Actinobacteria
OTU_1199	Alphaproteobacteria	Bacteria	Rhodobacterales	Proteobacteria
OTU_12	Acidimicrobiia	Bacteria	Acidimicrobiales	Actinobacteria
OTU_120	Gammaproteobacteria	Bacteria	Alteromonadales	Proteobacteria
OTU_1203				
OTU_1204	Betaproteobacteria	Bacteria	Burkholderiales	Proteobacteria
OTU_1205	Flavobacteriia	Bacteria	Flavobacteriales	Bacteroidetes
OTU_1206	Spirochaetes	Bacteria	Spirochaetales	Spirochaetes
OTU_1207	Alphaproteobacteria	Bacteria	Rhizobiales	Proteobacteria
OTU_1209				
OTU_121	Verrucomicrobiae	Bacteria	Verrucomicrobiales	Verrucomicrobia
OTU_1212	[Pedosphaerae]	Bacteria		Verrucomicrobia
OTU_1214	Betaproteobacteria	Bacteria		Proteobacteria
OTU_1216	Deltaproteobacteria	Bacteria	Bdellovibrionales	Proteobacteria
OTU_1217	Alphaproteobacteria	Bacteria	Rickettsiales	Proteobacteria
OTU_1218	Chlamydiia	Bacteria	Chlamydiales	Chlamydiae
OTU_122				
OTU_1220	Alphaproteobacteria	Bacteria	Rhodobacterales	Proteobacteria
OTU_1221				
OTU_1224	Planctomycetia	Bacteria	Pirellulales	Planctomycetes
OTU_1226	Actinobacteria	Bacteria	Actinomycetales	Actinobacteria
OTU_1227	Chloroplast	Bacteria	Chlorophyta	Cyanobacteria
