	class	kingdom	order	phylum
OTU_308				
OTU_309	Gammaproteobacteria	Bacteria	Pseudomonadales	Proteobacteria
OTU_31	Flavobacteriia	Bacteria	Flavobacteriales	Bacteroidetes
OTU_310	Flavobacteriia	Bacteria	Flavobacteriales	Bacteroidetes
OTU_311	Alphaproteobacteria	Bacteria		Proteobacteria
OTU_312	Flavobacteriia	Bacteria	Flavobacteriales	Bacteroidetes
OTU_313	Alphaproteobacteria	Bacteria	Rickettsiales	Proteobacteria
OTU_314	Alphaproteobacteria	Bacteria	Rhodobacterales	Proteobacteria
OTU_315	Chloroplast	Bacteria	Stramenopiles	Cyanobacteria
OTU_316	Alphaproteobacteria	Bacteria	Caulobacterales	Proteobacteria
OTU_317	Betaproteobacteria	Bacteria	Methylophilales	Proteobacteria
OTU_318	Flavobacteriia	Bacteria	Flavobacteriales	Bacteroidetes
OTU_319	Betaproteobacteria	Bacteria	Methylophilales	Proteobacteria
OTU_32	Chloroplast	Bacteria	Stramenopiles	Cyanobacteria
OTU_320	Actinobacteria	Bacteria	Actinomycetales	Actinobacteria
OTU_321	Chloroplast	Bacteria	Stramenopiles	Cyanobacteria
OTU_322	Alphaproteobacteria	Bacteria	Rickettsiales	Proteobacteria
OTU_323	Alphaproteobacteria	Bacteria	Rhodobacterales	Proteobacteria
OTU_324	Epsilonproteobacteria	Bacteria	Campylobacterales	Proteobacteria
OTU_325	Synechococcophycideae	Bacteria	Synechococcales	Cyanobacteria
OTU_326	Alphaproteobacteria	Bacteria	Rhizobiales	Proteobacteria
OTU_327	Alphaproteobacteria	Bacteria	Caulobacterales	Proteobacteria
OTU_328				
OTU_329	Alphaproteobacteria	Bacteria	Rhizobiales	Proteobacteria
OTU_33	Flavobacteriia	Bacteria	Flavobacteriales	Bacteroidetes
OTU_330	Chloroplast	Bacteria	Stramenopiles	Cyanobacteria
OTU_331	Chloroplast	Bacteria	Stramenopiles	Cyanobacteria
OTU_332	Solibacteres	Bacteria	Solibacterales	Acidobacteria
OTU_333	Alphaproteobacteria	Bacteria		Proteobacteria
OTU_334	Gammaproteobacteria	Bacteria	Pseudomonadales	Proteobacteria
OTU_335	Acidimicrobiia	Bacteria	Acidimicrobiales	Actinobacteria
OTU_336	Sphingobacteriia	Bacteria	Sphingobacteriales	Bacteroidetes
OTU_337	Chloroplast	Bacteria		Cyanobacteria
OTU_338	Flavobacteriia	Bacteria	Flavobacteriales	Bacteroidetes
OTU_339	Betaproteobacteria	Bacteria	Burkholderiales	Proteobacteria
OTU_34	Synechococcophycideae	Bacteria	Synechococcales	Cyanobacteria
OTU_340	Chloroplast	Bacteria	Stramenopiles	Cyanobacteria
OTU_341	Alphaproteobacteria	Bacteria	Rhodobacterales	Proteobacteria
OTU_342				
OTU_343	Alphaproteobacteria	Bacteria	Rhodobacterales	Proteobacteria
OTU_344	Cytophagia	Bacteria	Cytophagales	Bacteroidetes
OTU_345	Gammaproteobacteria	Bacteria	Alteromonadales	Proteobacteria
OTU_346	Betaproteobacteria	Bacteria	Burkholderiales	Proteobacteria
OTU_347	ZB2	Bacteria		OD1
OTU_348	Chloroplast	Bacteria	Stramenopiles	Cyanobacteria
OTU_349	Flavobacteriia	Bacteria	Flavobacteriales	Bacteroidetes
OTU_35	Flavobacteriia	Bacteria	Flavobacteriales	Bacteroidetes
OTU_350	Flavobacteriia	Bacteria	Flavobacteriales	Bacteroidetes
OTU_351	Chloroplast	Bacteria	Stramenopiles	Cyanobacteria
OTU_352	Alphaproteobacteria	Bacteria	Sphingomonadales	Proteobacteria
OTU_353	Chloroplast	Bacteria	Haptophyceae	Cyanobacteria
OTU_354	Flavobacteriia	Bacteria	Flavobacteriales	Bacteroidetes
OTU_355				
OTU_356	Flavobacteriia	Bacteria	Flavobacteriales	Bacteroidetes
OTU_357	Chloroplast	Bacteria	Stramenopiles	Cyanobacteria
OTU_358	Alphaproteobacteria	Bacteria	Rhodobacterales	Proteobacteria
OTU_359	Betaproteobacteria	Bacteria	Burkholderiales	Proteobacteria
OTU_36				
OTU_360	Chloroplast	Bacteria	Stramenopiles	Cyanobacteria
OTU_361	Alphaproteobacteria	Bacteria	Rhodospirillales	Proteobacteria
OTU_362	Sphingobacteriia	Bacteria	Sphingobacteriales	Bacteroidetes
OTU_363	Alphaproteobacteria	Bacteria	Rhodobacterales	Proteobacteria
OTU_364	SL56	Bacteria		Chloroflexi
OTU_365	Flavobacteriia	Bacteria	Flavobacteriales	Bacteroidetes
OTU_366	Chloroplast	Bacteria	Stramenopiles	Cyanobacteria
OTU_367	Alphaproteobacteria	Bacteria	Rhodospirillales	Proteobacteria
OTU_368	Nostocophycideae	Bacteria	Nostocales	Cyanobacteria
OTU_369	Flavobacteriia	Bacteria	Flavobacteriales	Bacteroidetes
OTU_37	Flavobacteriia	Bacteria	Flavobacteriales	Bacteroidetes
OTU_370	Chloroplast	Bacteria	Stramenopiles	Cyanobacteria
OTU_371	[Methylacidiphilae]	Bacteria	Methylacidiphilales	Verrucomicrobia
OTU_372	Betaproteobacteria	Bacteria	Burkholderiales	Proteobacteria
OTU_373	Alphaproteobacteria	Bacteria	Rhodospirillales	Proteobacteria
OTU_374	Sphingobacteriia	Bacteria	Sphingobacteriales	Bacteroidetes
OTU_375	Alphaproteobacteria	Bacteria	Rhizobiales	Proteobacteria
OTU_376	Cytophagia	Bacteria	Cytophagales	Bacteroidetes
OTU_377	Chloroplast	Bacteria	Chlorophyta	Cyanobacteria
OTU_378	Chloroplast	Bacteria	Stramenopiles	Cyanobacteria
OTU_379	Alphaproteobacteria	Bacteria	Rhodobacterales	Proteobacteria
OTU_38	Flavobacteriia	Bacteria	Flavobacteriales	Bacteroidetes
OTU_380				
OTU_382				
OTU_383	ZB2	Bacteria		OD1
OTU_384	Acidobacteriia	Bacteria	Acidobacteriales	Acidobacteria
OTU_385	Chloroplast	Bacteria	Stramenopiles	Cyanobacteria
OTU_386	Verruco-5	Bacteria	SS1-B-03-39	Verrucomicrobia
OTU_387	Betaproteobacteria	Bacteria	Burkholderiales	Proteobacteria
OTU_388				
OTU_389	Erysipelotrichi	Bacteria	Erysipelotrichales	Firmicutes
OTU_39	Chloroplast	Bacteria	Stramenopiles	Cyanobacteria
OTU_390	Alphaproteobacteria	Bacteria	Rhodobacterales	Proteobacteria
OTU_391	Alphaproteobacteria	Bacteria	Rickettsiales	Proteobacteria
OTU_392				
OTU_393	Betaproteobacteria	Bacteria	Burkholderiales	Proteobacteria
OTU_394	Alphaproteobacteria	Bacteria		Proteobacteria
OTU_395	Betaproteobacteria	Bacteria	Burkholderiales	Proteobacteria
OTU_396	Gammaproteobacteria	Bacteria	Vibrionales	Proteobacteria
OTU_397	Alphaproteobacteria	Bacteria	Rickettsiales	Proteobacteria
OTU_398				
OTU_399	Betaproteobacteria	Bacteria	Burkholderiales	Proteobacteria
OTU_4	Synechococcophycideae	Bacteria	Synechococcales	Cyanobacteria
OTU_40	Cytophagia	Bacteria	Cytophagales	Bacteroidetes
OTU_400	Alphaproteobacteria	Bacteria	Sphingomonadales	Proteobacteria
OTU_401	Gammaproteobacteria	Bacteria	Pseudomonadales	Proteobacteria
OTU_402	Flavobacteriia	Bacteria	Flavobacteriales	Bacteroidetes
OTU_403	Betaproteobacteria	Bacteria	Burkholderiales	Proteobacteria
OTU_404				
OTU_405	Sphingobacteriia	Bacteria	Sphingobacteriales	Bacteroidetes
OTU_406	Alphaproteobacteria	Bacteria	Rickettsiales	Proteobacteria
OTU_407	Verrucomicrobiae	Bacteria	Verrucomicrobiales	Verrucomicrobia
OTU_408	Chloroplast	Bacteria	Stramenopiles	Cyanobacteria
OTU_409	Sphingobacteriia	Bacteria	Sphingobacteriales	Bacteroidetes
OTU_41	Flavobacteriia	Bacteria	Flavobacteriales	Bacteroidetes
OTU_410	Verrucomicrobiae	Bacteria	Verrucomicrobiales	Verrucomicrobia
OTU_411				
OTU_412	Cytophagia	Bacteria	Cytophagales	Bacteroidetes
OTU_413				
OTU_414	Gammaproteobacteria	Bacteria	HTCC2188	Proteobacteria
OTU_415	Chloroplast	Bacteria	Stramenopiles	Cyanobacteria
OTU_416	Alphaproteobacteria	Bacteria	Rickettsiales	Proteobacteria
OTU_417	Alphaproteobacteria	Bacteria	BD7-3	Proteobacteria
OTU_418	Deltaproteobacteria	Bacteria	GMD14H09	Proteobacteria
OTU_419	Alphaproteobacteria	Bacteria	Ellin329	Proteobacteria
OTU_42	Alphaproteobacteria	Bacteria	Rhodobacterales	Proteobacteria
OTU_420	Chloroplast	Bacteria	Stramenopiles	Cyanobacteria
OTU_421	Flavobacteriia	Bacteria	Flavobacteriales	Bacteroidetes
OTU_422	OM190	Bacteria	CL500-15	Planctomycetes
OTU_423	Alphaproteobacteria	Bacteria	Rhodospirillales	Proteobacteria
OTU_424	Chloroplast	Bacteria	Stramenopiles	Cyanobacteria
OTU_425	Flavobacteriia	Bacteria	Flavobacteriales	Bacteroidetes
OTU_426	Actinobacteria	Bacteria	Actinomycetales	Actinobacteria
OTU_427				
OTU_428	TM7-1	Bacteria		TM7
OTU_429	Holophagae	Bacteria	Holophagales	Acidobacteria
OTU_43	Gammaproteobacteria	Bacteria	Alteromonadales	Proteobacteria
OTU_430	Alphaproteobacteria	Bacteria	Rhizobiales	Proteobacteria
OTU_431	Betaproteobacteria	Bacteria	Burkholderiales	Proteobacteria
OTU_432	Alphaproteobacteria	Bacteria	Sphingomonadales	Proteobacteria
OTU_433				
OTU_434	[Saprospirae]	Bacteria	[Saprospirales]	Bacteroidetes
OTU_435	Betaproteobacteria	Bacteria	Methylophilales	Proteobacteria
OTU_436	Gammaproteobacteria	Bacteria	Alteromonadales	Proteobacteria
OTU_437				
OTU_438	Gammaproteobacteria	Bacteria	Alteromonadales	Proteobacteria
OTU_439	Alphaproteobacteria	Bacteria	Rhodospirillales	Proteobacteria
OTU_44	Synechococcophycideae	Bacteria	Synechococcales	Cyanobacteria
OTU_440				
OTU_441	Flavobacteriia	Bacteria	Flavobacteriales	Bacteroidetes
OTU_442	Chloroplast	Bacteria	Haptophyceae	Cyanobacteria
OTU_443	Alphaproteobacteria	Bacteria	Rhizobiales	Proteobacteria
OTU_444	Elusimicrobia	Bacteria	Elusimicrobiales	Elusimicrobia
OTU_445	Flavobacteriia	Bacteria	Flavobacteriales	Bacteroidetes
OTU_446	Flavobacteriia	Bacteria	Flavobacteriales	Bacteroidetes
OTU_448	Gammaproteobacteria	Bacteria	Aeromonadales	Proteobacteria
OTU_449	Betaproteobacteria	Bacteria	Rhodocyclales	Proteobacteria
OTU_45	Flavobacteriia	Bacteria	Flavobacteriales	Bacteroidetes
OTU_450				
OTU_451	Alphaproteobacteria	Bacteria		Proteobacteria
OTU_452	Flavobacteriia	Bacteria	Flavobacteriales	Bacteroidetes
OTU_453	Alphaproteobacteria	Bacteria	Rhodobacterales	Proteobacteria
OTU_454	Sphingobacteriia	Bacteria	Sphingobacteriales	Bacteroidetes
OTU_455				
OTU_456	Alphaproteobacteria	Bacteria	Rhodospirillales	Proteobacteria
OTU_457				
OTU_458	Alphaproteobacteria	Bacteria	Rhodospirillales	Proteobacteria
OTU_459	Betaproteobacteria	Bacteria	Methylophilales	Proteobacteria
OTU_46	Acidimicrobiia	Bacteria	Acidimicrobiales	Actinobacteria
OTU_460	Flavobacteriia	Bacteria	Flavobacteriales	Bacteroidetes
OTU_461	Sphingobacteriia	Bacteria	Sphingobacteriales	Bacteroidetes
OTU_462	Opitutae	Bacteria	Puniceicoccales	Verrucomicrobia
OTU_463	Alphaproteobacteria	Bacteria	Rickettsiales	Proteobacteria
OTU_464	Flavobacteriia	Bacteria	Flavobacteriales	Bacteroidetes
OTU_465	Alphaproteobacteria	Bacteria	Rhizobiales	Proteobacteria
OTU_466	Betaproteobacteria	Bacteria	Burkholderiales	Proteobacteria
OTU_467	Acidobacteriia	Bacteria	Acidobacteriales	Acidobacteria
OTU_468	Flavobacteriia	Bacteria	Flavobacteriales	Bacteroidetes
OTU_469	Nostocophycideae	Bacteria	Nostocales	Cyanobacteria
OTU_47	Gammaproteobacteria	Bacteria	Oceanospirillales	Proteobacteria
OTU_470	Flavobacteriia	Bacteria	Flavobacteriales	Bacteroidetes
OTU_471	Betaproteobacteria	Bacteria	Burkholderiales	Proteobacteria
OTU_472	Chloroplast	Bacteria	Chlorophyta	Cyanobacteria
OTU_473				
OTU_474	[Saprospirae]	Bacteria	[Saprospirales]	Bacteroidetes
OTU_475	Chloroplast	Bacteria		Cyanobacteria
OTU_476	Planctomycetia	Bacteria	Pirellulales	Planctomycetes
OTU_477	Alphaproteobacteria	Bacteria	Rickettsiales	Proteobacteria
OTU_479				
OTU_48	Gammaproteobacteria	Bacteria	Methylococcales	Proteobacteria
OTU_480				
OTU_481	Gammaproteobacteria	Bacteria	HTCC2188	Proteobacteria
OTU_482	Alphaproteobacteria	Bacteria	Sphingomonadales	Proteobacteria
OTU_483	Alphaproteobacteria	Bacteria	Rhizobiales	Proteobacteria
OTU_484				
OTU_485	[Saprospirae]	Bacteria	[Saprospirales]	Bacteroidetes
OTU_486	[Saprospirae]	Bacteria	[Saprospirales]	Bacteroidetes
OTU_487	Alphaproteobacteria	Bacteria	Rhodobacterales	Proteobacteria
OTU_488	Sphingobacteriia	Bacteria	Sphingobacteriales	Bacteroidetes
OTU_489	Flavobacteriia	Bacteria	Flavobacteriales	Bacteroidetes
OTU_49	Nostocophycideae	Bacteria	Nostocales	Cyanobacteria
OTU_490				
OTU_491	Chloroplast	Bacteria	Stramenopiles	Cyanobacteria
OTU_492	Flavobacteriia	Bacteria	Flavobacteriales	Bacteroidetes
OTU_493	Actinobacteria	Bacteria	Actinomycetales	Actinobacteria
OTU_494	Alphaproteobacteria	Bacteria		Proteobacteria
OTU_495	Deltaproteobacteria	Bacteria	Myxococcales	Proteobacteria
OTU_496	Flavobacteriia	Bacteria	Flavobacteriales	Bacteroidetes
OTU_497	Alphaproteobacteria	Bacteria	Rhizobiales	Proteobacteria
OTU_498	Alphaproteobacteria	Bacteria	BD7-3	Proteobacteria
OTU_499	Alphaproteobacteria	Bacteria	Sphingomonadales	Proteobacteria
OTU_5	Alphaproteobacteria	Bacteria	Rickettsiales	Proteobacteria
OTU_50	Chloroplast	Bacteria	Cryptophyta	Cyanobacteria
OTU_500	Chloroplast	Bacteria	Stramenopiles	Cyanobacteria
OTU_501	Alphaproteobacteria	Bacteria	Rickettsiales	Proteobacteria
OTU_502	Betaproteobacteria	Bacteria	Burkholderiales	Proteobacteria
OTU_503	Gammaproteobacteria	Bacteria	Pseudomonadales	Proteobacteria
OTU_504	[Saprospirae]	Bacteria	[Saprospirales]	Bacteroidetes
OTU_505	Alphaproteobacteria	Bacteria	Rhodobacterales	Proteobacteria
OTU_506	[Saprospirae]	Bacteria	[Saprospirales]	Bacteroidetes
OTU_507	TM7-3	Bacteria		TM7
OTU_508				
OTU_509	Chloroplast	Bacteria	Stramenopiles	Cyanobacteria
OTU_51	Gammaproteobacteria	Bacteria	Alteromonadales	Proteobacteria
OTU_510				
OTU_511	Gammaproteobacteria	Bacteria	Alteromonadales	Proteobacteria
OTU_512	Cytophagia	Bacteria	Cytophagales	Bacteroidetes
OTU_513				
OTU_514	Gammaproteobacteria	Bacteria	Alteromonadales	Proteobacteria
OTU_515	[Saprospirae]	Bacteria	[Saprospirales]	Bacteroidetes
OTU_516	Betaproteobacteria	Bacteria	Burkholderiales	Proteobacteria
OTU_517	Chloroplast	Bacteria	Stramenopiles	Cyanobacteria
OTU_518	Dehalococcoidetes	Bacteria	Dehalococcoidales	Chloroflexi
OTU_519	Flavobacteriia	Bacteria	Flavobacteriales	Bacteroidetes
OTU_52				
OTU_520				
OTU_521	Chloroplast	Bacteria	Stramenopiles	Cyanobacteria
OTU_522	Opitutae	Bacteria	Opitutales	Verrucomicrobia
OTU_523	Alphaproteobacteria	Bacteria	Rhodospirillales	Proteobacteria
OTU_524	4C0d-2	Bacteria	MLE1-12	Cyanobacteria
OTU_525				
OTU_526				
OTU_527	BD1-5	Bacteria		GN02
OTU_528	Alphaproteobacteria	Bacteria	Rhodobacterales	Proteobacteria
OTU_529	Opitutae	Bacteria	Opitutales	Verrucomicrobia
OTU_53	Sphingobacteriia	Bacteria	Sphingobacteriales	Bacteroidetes
OTU_530	[Saprospirae]	Bacteria	[Saprospirales]	Bacteroidetes
OTU_531	Chloroplast	Bacteria	Stramenopiles	Cyanobacteria
OTU_532	Alphaproteobacteria	Bacteria	BD7-3	Proteobacteria
OTU_533	Alphaproteobacteria	Bacteria		Proteobacteria
OTU_534	Chloroplast	Bacteria	Stramenopiles	Cyanobacteria
OTU_535	Chloroplast	Bacteria	Stramenopiles	Cyanobacteria
OTU_536	Alphaproteobacteria	Bacteria	Sphingomonadales	Proteobacteria
OTU_537	Alphaproteobacteria	Bacteria	Rhizobiales	Proteobacteria
OTU_538	Gammaproteobacteria	Bacteria	Chromatiales	Proteobacteria
OTU_539	Chloroplast	Bacteria	Stramenopiles	Cyanobacteria
OTU_54	SL56	Bacteria		Chloroflexi
OTU_540	Alphaproteobacteria	Bacteria		Proteobacteria
OTU_541	Gammaproteobacteria	Bacteria	Xanthomonadales	Proteobacteria
OTU_542	Flavobacteriia	Bacteria	Flavobacteriales	Bacteroidetes
OTU_543	SC3	Bacteria		TM7
OTU_544	Phycisphaerae	Bacteria	Phycisphaerales	Planctomycetes
OTU_545	Gammaproteobacteria	Bacteria	Alteromonadales	Proteobacteria
OTU_546	Phycisphaerae	Bacteria	Phycisphaerales	Planctomycetes
OTU_547	Alphaproteobacteria	Bacteria	Ellin329	Proteobacteria
OTU_548				
OTU_549	Actinobacteria	Bacteria	Actinomycetales	Actinobacteria
OTU_55	Flavobacteriia	Bacteria	Flavobacteriales	Bacteroidetes
OTU_550	Cytophagia	Bacteria	Cytophagales	Bacteroidetes
OTU_551				
OTU_552	Holophagae	Bacteria	Holophagales	Acidobacteria
OTU_553	Betaproteobacteria	Bacteria	Burkholderiales	Proteobacteria
OTU_554	Alphaproteobacteria	Bacteria	Rhodobacterales	Proteobacteria
OTU_555	Alphaproteobacteria	Bacteria	Kiloniellales	Proteobacteria
OTU_556	[Saprospirae]	Bacteria	[Saprospirales]	Bacteroidetes
OTU_557				
OTU_558				
OTU_559	Flavobacteriia	Bacteria	Flavobacteriales	Bacteroidetes
OTU_56	Synechococcophycideae	Bacteria	Synechococcales	Cyanobacteria
OTU_560	Flavobacteriia	Bacteria	Flavobacteriales	Bacteroidetes
OTU_562	Flavobacteriia	Bacteria	Flavobacteriales	Bacteroidetes
OTU_563	Sphingobacteriia	Bacteria	Sphingobacteriales	Bacteroidetes
OTU_564	Planctomycetia	Bacteria	Pirellulales	Planctomycetes
OTU_565				
OTU_566	Elusimicrobia	Bacteria	Elusimicrobiales	Elusimicrobia
OTU_567	Actinobacteria	Bacteria	Actinomycetales	Actinobacteria
OTU_568	Actinobacteria	Bacteria	Actinomycetales	Actinobacteria
OTU_569	Betaproteobacteria	Bacteria		Proteobacteria
OTU_57	Actinobacteria	Bacteria	Actinomycetales	Actinobacteria
OTU_570	Alphaproteobacteria	Bacteria	Rhodobacterales	Proteobacteria
OTU_571	Solibacteres	Bacteria	Solibacterales	Acidobacteria
OTU_572	Flavobacteriia	Bacteria	Flavobacteriales	Bacteroidetes
OTU_573	Alphaproteobacteria	Bacteria	BD7-3	Proteobacteria
OTU_574	Alphaproteobacteria	Bacteria	Rickettsiales	Proteobacteria
OTU_575	Alphaproteobacteria	Bacteria	Rhodobacterales	Proteobacteria
OTU_576	Alphaproteobacteria	Bacteria	Rhizobiales	Proteobacteria
OTU_577	Gammaproteobacteria	Bacteria	Oceanospirillales	Proteobacteria
OTU_578	Betaproteobacteria	Bacteria	Burkholderiales	Proteobacteria
OTU_579				
OTU_58	Betaproteobacteria	Bacteria	Burkholderiales	Proteobacteria
OTU_580	Chloroplast	Bacteria	Stramenopiles	Cyanobacteria
OTU_581	Flavobacteriia	Bacteria	Flavobacteriales	Bacteroidetes
OTU_582	Acidobacteriia	Bacteria	Acidobacteriales	Acidobacteria
OTU_583	Alphaproteobacteria	Bacteria		Proteobacteria
OTU_584	Flavobacteriia	Bacteria	Flavobacteriales	Bacteroidetes
OTU_585	Betaproteobacteria	Bacteria	Burkholderiales	Proteobacteria
OTU_586	TM7-3	Bacteria	EW055	TM7
OTU_587	Alphaproteobacteria	Bacteria		Proteobacteria
OTU_588	Gammaproteobacteria	Bacteria	Oceanospirillales	Proteobacteria
OTU_589	[Saprospirae]	Bacteria	[Saprospirales]	Bacteroidetes
OTU_59	Alphaproteobacteria	Bacteria	Rhodobacterales	Proteobacteria
OTU_590	Alphaproteobacteria	Bacteria	Rickettsiales	Proteobacteria
OTU_591	Cytophagia	Bacteria	Cytophagales	Bacteroidetes
OTU_592	[Saprospirae]	Bacteria	[Saprospirales]	Bacteroidetes
OTU_593	Gammaproteobacteria	Bacteria	Alteromonadales	Proteobacteria
OTU_594	Alphaproteobacteria	Bacteria	BD7-3	Proteobacteria
OTU_595	Chloroplast	Bacteria	Stramenopiles	Cyanobacteria
OTU_596		Bacteria		WPS-2
OTU_597	4C0d-2	Bacteria	MLE1-12	Cyanobacteria
OTU_598				
OTU_599	Alphaproteobacteria	Bacteria	Rhizobiales	Proteobacteria
OTU_6	Acidimicrobiia	Bacteria	Acidimicrobiales	Actinobacteria
OTU_60	Flavobacteriia	Bacteria	Flavobacteriales	Bacteroidetes
OTU_600	Chloroplast	Bacteria		Cyanobacteria
OTU_601				
OTU_602	Betaproteobacteria	Bacteria	Burkholderiales	Proteobacteria
OTU_603	Alphaproteobacteria	Bacteria		Proteobacteria
OTU_604	Opitutae	Bacteria	Opitutales	Verrucomicrobia
OTU_606	Chloroplast	Bacteria	Stramenopiles	Cyanobacteria
OTU_607	Gammaproteobacteria	Bacteria	Alteromonadales	Proteobacteria
OTU_608	Betaproteobacteria	Bacteria	Procabacteriales	Proteobacteria
OTU_609	Chlamydiia	Bacteria	Chlamydiales	Chlamydiae
OTU_61	Flavobacteriia	Bacteria	Flavobacteriales	Bacteroidetes
OTU_610	Alphaproteobacteria	Bacteria	Rhodospirillales	Proteobacteria
OTU_611	Holophagae	Bacteria	Holophagales	Acidobacteria
OTU_612	Chloroplast	Bacteria	Chlorophyta	Cyanobacteria
OTU_613	Alphaproteobacteria	Bacteria	Rhodospirillales	Proteobacteria
OTU_614	Alphaproteobacteria	Bacteria	Rhodospirillales	Proteobacteria
OTU_615	Oscillatoriophycideae	Bacteria	Chroococcales	Cyanobacteria
OTU_616	Betaproteobacteria	Bacteria	Burkholderiales	Proteobacteria
OTU_617	Flavobacteriia	Bacteria	Flavobacteriales	Bacteroidetes
OTU_618	Chloroplast	Bacteria	Cryptophyta	Cyanobacteria
OTU_619	Alphaproteobacteria	Bacteria	Rhodospirillales	Proteobacteria
OTU_62	Betaproteobacteria	Bacteria	Burkholderiales	Proteobacteria
OTU_620	Deltaproteobacteria	Bacteria	Bdellovibrionales	Proteobacteria
OTU_621	Sphingobacteriia	Bacteria	Sphingobacteriales	Bacteroidetes
OTU_622	Alphaproteobacteria	Bacteria	Rhodospirillales	Proteobacteria
OTU_623	Flavobacteriia	Bacteria	Flavobacteriales	Bacteroidetes
OTU_624	Flavobacteriia	Bacteria	Flavobacteriales	Bacteroidetes
OTU_625	Gammaproteobacteria	Bacteria	Xanthomonadales	Proteobacteria
OTU_626	Alphaproteobacteria	Bacteria	Sphingomonadales	Proteobacteria
OTU_627	Flavobacteriia	Bacteria	Flavobacteriales	Bacteroidetes
OTU_628				
OTU_629	Alphaproteobacteria	Bacteria	Rhodospirillales	Proteobacteria
OTU_63	Flavobacteriia	Bacteria	Flavobacteriales	Bacteroidetes
OTU_630	Betaproteobacteria	Bacteria	Procabacteriales	Proteobacteria
OTU_631	[Spartobacteria]	Bacteria	[Chthoniobacterales]	Verrucomicrobia
OTU_632	Oscillatoriophycideae	Bacteria	Chroococcales	Cyanobacteria
OTU_633	Epsilonproteobacteria	Bacteria	Campylobacterales	Proteobacteria
OTU_634	Chloroplast	Bacteria	Stramenopiles	Cyanobacteria
OTU_635	Bacteroidia	Bacteria	Bacteroidales	Bacteroidetes
OTU_636	Chloroplast	Bacteria	Stramenopiles	Cyanobacteria
OTU_637	Flavobacteriia	Bacteria	Flavobacteriales	Bacteroidetes
OTU_638	Opitutae	Bacteria	Puniceicoccales	Verrucomicrobia
OTU_639	Betaproteobacteria	Bacteria	Rhodocyclales	Proteobacteria
OTU_64	Alphaproteobacteria	Bacteria	Rhizobiales	Proteobacteria
OTU_640	[Saprospirae]	Bacteria	[Saprospirales]	Bacteroidetes
OTU_641	Deltaproteobacteria	Bacteria	Spirobacillales	Proteobacteria
OTU_642				
OTU_643	[Rhodothermi]	Bacteria	[Rhodothermales]	Bacteroidetes
OTU_645	Sphingobacteriia	Bacteria	Sphingobacteriales	Bacteroidetes
OTU_646	Chloroplast	Bacteria	Haptophyceae	Cyanobacteria
OTU_647	Alphaproteobacteria	Bacteria	Caulobacterales	Proteobacteria
OTU_648	Planctomycetia	Bacteria	Pirellulales	Planctomycetes
OTU_649	Chlamydiia	Bacteria	Chlamydiales	Chlamydiae
OTU_65	Alphaproteobacteria	Bacteria	Rhodospirillales	Proteobacteria
OTU_651	Synechococcophycideae	Bacteria	Pseudanabaenales	Cyanobacteria
OTU_652	Betaproteobacteria	Bacteria	Burkholderiales	Proteobacteria
OTU_653	Alphaproteobacteria	Bacteria	Rhodospirillales	Proteobacteria
OTU_654	Betaproteobacteria	Bacteria	Burkholderiales	Proteobacteria
OTU_655				
OTU_657	Alphaproteobacteria	Bacteria	Rhizobiales	Proteobacteria
OTU_658	Chloroplast	Bacteria	Stramenopiles	Cyanobacteria
OTU_659	Alphaproteobacteria	Bacteria	Rhodobacterales	Proteobacteria
OTU_66	Alphaproteobacteria	Bacteria	Sphingomonadales	Proteobacteria
OTU_660	SC3	Bacteria		TM7
OTU_661				
OTU_662				
OTU_663				
OTU_664	Gammaproteobacteria	Bacteria	Enterobacteriales	Proteobacteria
OTU_666	Nostocophycideae	Bacteria	Nostocales	Cyanobacteria
OTU_667				
OTU_669	Betaproteobacteria	Bacteria	Burkholderiales	Proteobacteria
OTU_67	Synechococcophycideae	Bacteria	Pseudanabaenales	Cyanobacteria
OTU_670	Alphaproteobacteria	Bacteria	Rhodospirillales	Proteobacteria
OTU_671	Gammaproteobacteria	Bacteria	Alteromonadales	Proteobacteria
OTU_672	Synechococcophycideae	Bacteria	Synechococcales	Cyanobacteria
OTU_673	Gammaproteobacteria	Bacteria	Xanthomonadales	Proteobacteria
OTU_674	Holophagae	Bacteria	Holophagales	Acidobacteria
OTU_675	Alphaproteobacteria	Bacteria	Rhizobiales	Proteobacteria
OTU_676	Betaproteobacteria	Bacteria	Burkholderiales	Proteobacteria
OTU_677	Actinobacteria	Bacteria	Actinomycetales	Actinobacteria
OTU_678	Betaproteobacteria	Bacteria	Burkholderiales	Proteobacteria
OTU_679	Flavobacteriia	Bacteria	Flavobacteriales	Bacteroidetes
OTU_68	Sphingobacteriia	Bacteria	Sphingobacteriales	Bacteroidetes
OTU_680				
OTU_681	Alphaproteobacteria	Bacteria	Caulobacterales	Proteobacteria
OTU_682	Alphaproteobacteria	Bacteria	Rhodospirillales	Proteobacteria
OTU_684	Chloroplast	Bacteria	Euglenozoa	Cyanobacteria
OTU_685	Chloroplast	Bacteria	Stramenopiles	Cyanobacteria
OTU_686	Acidimicrobiia	Bacteria	Acidimicrobiales	Actinobacteria
OTU_687	Gammaproteobacteria	Bacteria	Alteromonadales	Proteobacteria
OTU_688	Flavobacteriia	Bacteria	Flavobacteriales	Bacteroidetes
OTU_69	Actinobacteria	Bacteria	Actinomycetales	Actinobacteria
