contig	length	cov_mean_sample_0314	cov_mean_sample_0322	cov_mean_sample_0328	cov_mean_sample_0403	cov_mean_sample_0416	cov_mean_sample_0419	cov_mean_sample_0423	cov_mean_sample_0507	cov_mean_sample_0516	cov_mean_sample_0521	cov_mean_sample_0531	cov_mean_sample_0604	cov_mean_sample_0613	cov_mean_sample_0619	cov_mean_sample_0628	cov_mean_sample_0705	cov_mean_sample_0709	cov_mean_sample_0717	cov_mean_sample_0802	cov_mean_sample_0806	cov_mean_sample_0813	cov_mean_sample_0820	cov_mean_sample_0823	cov_mean_sample_0828	cov_mean_sample_0903	cov_mean_sample_0910	cov_mean_sample_0920	cov_mean_sample_0924	cov_mean_sample_1001	cov_mean_sample_1004	cov_mean_sample_1015	cov_mean_sample_1022	cov_mean_sample_1028	cov_mean_sample_1105	cov_mean_sample_1123	cov_mean_sample_1128	cov_mean_sample_1220
OTU_854	407	2.211302	25.555267	2.712529	5.407857	4.171990	5.626530	1.884519	23.076154	1.095822	0.248157	1.488942	0	0.346437	1.223587	0.248157	2.466829	0	0	1.233414	0	0.985257	16.174445	5.260439	1.329237	1.068795	20.125298	38.122827	12.459453	11.808347	2.459458	4.398031	2.815722	0.820639	3.506141	0.744471	2.457002	0.496314
OTU_892	402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_692	404	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.500001	0	0	0	0	0	0	0	0
OTU_1269	407	0	0	0	0	0	0	0	0	0	0	0	0	0.248157	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1147	427	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_251	422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_903	403	0.682382	1.002482	0	0.250620	1.873447	0	0	1.002481	0.250620	2.342434	0	0	0.496277	0	0	0.724566	0	0	0.233251	0.250620	0.655087	0.250620	5.756821	0.488834	0.250620	0.250620	1.253101	4.300245	0.744416	0	1.354837	0.250620	1.392061	0.250620	0	0.250620	1.493797
OTU_902	422	0	0	0	0	0	0.239336	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_905	422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1142	427	0	0	0	0	0	0	0	0.473068	0	0	0	0.473068	0.236534	0.236534	0	0.236534	0	0	0	0	0	0.473068	0	0.578455	0	0	0	0.236534	0	0	0	0.236534	0	0	0	0	0
OTU_907	402	0.315920	1.922885	0	0.124378	0.601990	0.616915	0	0	0.124378	0	0	0.251244	0	0.251244	0.201493	0	0	0	0	0	0	0	0.251244	0	0	0.865671	0	0.353233	0	0	0	0	0	0	0	0.251244	0.246269
OTU_250	344	0	0	0	0	0	0	0	0.587209	0	0	0	0	0	0	0	0.293605	0	0	0	0	0	0	1.485465	0	0	0	0.880815	0.587209	0.578488	0	0.488372	0	0	0.293605	0	0	0
OTU_909	422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_908	402	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1148	426	0	0	0.237089	0	0	0.237089	0	3.051640	0	0.471831	0	0	0	0	0	0	0.474178	0.230047	1.617368	1.422535	2.830988	1.166667	0.237089	0	0	0.237089	0.474179	0.704224	0	0	1.173710	0.436620	0.941314	0	0	0.237089	0.474179
OTU_489	422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_1084	427	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_698	426	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.941314	0	0	0	0.227700	0	0	0	0.237089	0.075117	0	0	0	0	0	0	0	0	0
OTU_518	403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_519	422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_709	402	0	0.104478	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_893	422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.296209	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_849	422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_512	421	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_513	422	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0.478672	0	0.718009	0.718010	0	0	0	0	0.239336
OTU_510	403	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
OTU_511	427	0	0.079625	0	0	0	0.473068	0	1.632316	0	0	0	0	0	0	0	0	0	0	0	0	0.461358	1.025760	0	0	0	0	0.236534	0	0.236534	0	0	0.138173	0	0	0	0	0.709601
OTU_516	427	0	0	0	0	0	0.355972	0	0	0	0	0.236534	0	0	0	0.946135	0	0.836065	0	0	0	0	0	0.473068	0	0	0	0	0	0	0	0	0	0.229508	0	0	0	0
OTU_517	327	0	0	0	0	0	0	0	0	0	0	0	0	0	0.168196	0	0	0	0	0	0.617736	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
