7651167	milou	COMPLETED	alneberg	b2010008	'snakemake_taxonomy_annotation_diamond_search'	2016-05-04T23:04:43	03:22:12	node_type_overbooked:mem512GB:mem128GB	16	16	m135	/sw/share/slurm/milou/uppmax_jobstats/m135/7651167
7651170	milou	COMPLETED	alneberg	b2010008	'snakemake_taxonomy_annotation_diamond_search'	2016-05-04T23:40:04	03:09:33	node_type_overbooked:mem256GB:mem128GB	16	16	m146	/sw/share/slurm/milou/uppmax_jobstats/m146/7651170
7651169	milou	COMPLETED	alneberg	b2010008	'snakemake_taxonomy_annotation_diamond_search'	2016-05-04T23:44:53	03:18:22	node_type_overbooked:mem512GB:mem128GB	16	16	m130	/sw/share/slurm/milou/uppmax_jobstats/m130/7651169
7651180	milou	COMPLETED	alneberg	b2010008	'snakemake_taxonomy_annotation_diamond_view_to_tab'	2016-05-05T00:12:40	00:00:07	.	1	.	m83	.
7651181	milou	COMPLETED	alneberg	b2010008	'snakemake_taxonomy_annotation_diamond_view_to_tab'	2016-05-05T00:13:15	00:00:42	.	1	.	m83	.
7651190	milou	COMPLETED	alneberg	b2010008	'snakemake_taxonomy_annotation_diamond_view_to_tab'	2016-05-05T00:17:15	00:00:43	.	1	.	m156	.
7651197	milou	COMPLETED	alneberg	b2010008	'snakemake_taxonomy_annotation_diamond_view_to_tab'	2016-05-05T00:17:18	00:00:46	.	1	.	m186	.
7651192	milou	COMPLETED	alneberg	b2010008	'snakemake_taxonomy_annotation_diamond_view_to_tab'	2016-05-05T00:17:18	00:00:46	.	1	.	m156	.
7651187	milou	COMPLETED	alneberg	b2010008	'snakemake_taxonomy_annotation_diamond_view_to_tab'	2016-05-05T00:17:23	00:00:51	.	1	.	m83	.
7651182	milou	COMPLETED	alneberg	b2010008	'snakemake_taxonomy_annotation_diamond_view_to_tab'	2016-05-05T00:17:23	00:00:51	.	1	.	m83	.
7651185	milou	COMPLETED	alneberg	b2010008	'snakemake_taxonomy_annotation_diamond_view_to_tab'	2016-05-05T00:17:28	00:00:56	.	1	.	m83	.
7651201	milou	COMPLETED	alneberg	b2010008	'snakemake_taxonomy_annotation_diamond_view_to_tab'	2016-05-05T00:17:28	00:00:56	.	1	.	m169	.
7651200	milou	COMPLETED	alneberg	b2010008	'snakemake_taxonomy_annotation_diamond_view_to_tab'	2016-05-05T00:17:28	00:00:56	.	1	.	m169	.
7651199	milou	COMPLETED	alneberg	b2010008	'snakemake_taxonomy_annotation_diamond_view_to_tab'	2016-05-05T00:17:28	00:00:56	.	1	.	m169	.
7651222	milou	COMPLETED	alneberg	b2010008	'snakemake_taxonomy_annotation_megan_taxid_and_path'	2016-05-05T00:20:40	00:00:08	.	2	.	m19	.
7651173	milou	COMPLETED	alneberg	b2010008	'snakemake_taxonomy_annotation_diamond_search'	2016-05-05T00:22:03	04:06:19	node_type_overbooked:mem256GB:mem128GB	16	16	m145	/sw/share/slurm/milou/uppmax_jobstats/m145/7651173
7651223	milou	COMPLETED	alneberg	b2010008	'snakemake_taxonomy_annotation_megan_taxid_and_path'	2016-05-05T00:26:22	00:00:01	.	2	.	m19	.
7651220	milou	COMPLETED	alneberg	b2010008	'snakemake_taxonomy_annotation_megan_taxid_and_path'	2016-05-05T00:26:22	00:00:01	.	2	.	m19	.
7651202	milou	COMPLETED	alneberg	b2010008	'snakemake_taxonomy_annotation_diamond_view_to_tab'	2016-05-05T00:27:03	00:00:42	.	1	1	m83	/sw/share/slurm/milou/uppmax_jobstats/m83/7651202
7651213	milou	COMPLETED	alneberg	b2010008	'snakemake_taxonomy_annotation_megan_taxid_and_path'	2016-05-05T00:28:29	00:00:05	.	2	.	m83	.
7651219	milou	COMPLETED	alneberg	b2010008	'snakemake_taxonomy_annotation_megan_taxid_and_path'	2016-05-05T00:30:20	00:00:02	.	2	.	m19	.
7651218	milou	COMPLETED	alneberg	b2010008	'snakemake_taxonomy_annotation_megan_taxid_and_path'	2016-05-05T00:32:23	00:00:02	.	2	.	m186	.
