,cov_mean_sample_120314,cov_mean_sample_120322,cov_mean_sample_120328,cov_mean_sample_120403,cov_mean_sample_120416,cov_mean_sample_120419,cov_mean_sample_120423,cov_mean_sample_120507,cov_mean_sample_120516,cov_mean_sample_120521,cov_mean_sample_120531,cov_mean_sample_120604,cov_mean_sample_120613,cov_mean_sample_120619,cov_mean_sample_120628,cov_mean_sample_120705,cov_mean_sample_120709,cov_mean_sample_120717,cov_mean_sample_120802,cov_mean_sample_120806,cov_mean_sample_120813,cov_mean_sample_120820,cov_mean_sample_120823,cov_mean_sample_120828,cov_mean_sample_120903,cov_mean_sample_120910,cov_mean_sample_120920,cov_mean_sample_120924,cov_mean_sample_121001,cov_mean_sample_121004,cov_mean_sample_121015,cov_mean_sample_121022,cov_mean_sample_121028,cov_mean_sample_121105,cov_mean_sample_121123,cov_mean_sample_121128,cov_mean_sample_121220
CLUSTER1,2.329446105145573,25.12418655179889,2.10902163458743,5.7882185803210415,11.256311664868893,2.8391106528886305,2.7385598407891782,51.671167310380845,5.278197985576462,4.710887965212746,8.690817961777062,1.2584611987922254,12.045084462706493,116.42559094003101,16.181139600367377,26.8333411785729,2.2914870449961433,1.3952901564431686,9.320676144738131,3.696273269002947,17.554715750246213,36.64955423033387,55.243719950009655,15.110444878810176,10.852687922329652,20.690958710424862,141.3146039858961,31.233406041516364,90.76739901328261,18.465645877126043,68.45558675587097,34.26999441105053,3.4358682461633414,21.400630837137705,1.4270035633180373,34.65353425100668,58.37727064650495
CLUSTER10,7.876519118146499,150.7727815772171,3.8680875664568055,4.7830278979926195,11.145203555255433,27.605306121014753,5.617844051729366,1.2541485305655071,5.71510970069027,0.19722931942314115,4.723278495010656,2.921488105966123,3.026451381848709,5.788154487672031,2.824206000263681,0.2576194876431093,1.450414986874888,0.5030528949861426,0.7102555917381648,0.22726994755519794,1.0028748357232076,0.8773299705780654,2.9518898313221764,0.1723623605829029,0.15495322541313045,22.88456728431954,7.228638754527156,6.2697302802191475,3.823125812885561,1.1289286903633304,4.059817043252235,2.881719645521614,0.1615678682560249,2.3794426745172217,2.914925006891811,4.250135960905341,14.168208303077803
CLUSTER11,1.443916452278038,7.5706133291115005,3.524619570001332,9.217548328006577,14.86074838971815,0.6898276528856915,3.8289490043140204,3.7009652798518053,0.2033400474021156,0.11837610538599926,0.024595461644446117,0.02749447979152954,0.1149662834730053,0.156128325292349,2.5618894392353475,3.1946362301825353,0.13956649830626838,0.08156807468438936,0.9411673429828694,0.2137342115665811,0.606148681598325,2.6474603468654814,24.24466442602046,1.772502639823155,1.3160243398014586,21.633337139077224,46.25701411946521,9.876522078851913,21.908072545707256,3.423526522245258,17.413055111244702,6.448896697286732,0.2265677405132301,2.8924183894754916,2.038252684354764,15.83258980129883,37.05484800635444
CLUSTER12,0.03446075428920039,0.07845949277029479,0.031229541188498022,0.020118173068418604,0.0074441927737461,0.029447909439995562,0.008580859802808297,0.31309382781490885,0.029189615580845495,0.0062035834861804235,0.6415893133697204,0.026572825756782735,0.999895313362325,4.945267421992802,0.43522603035266305,0.007011626326792387,1.8270590579083779,0.41602248642752004,11.404320177362356,6.095050732114238,14.11307651546182,0.21794952356898303,0.02644292555739882,0.003998483341563563,0.0026647717272328007,0.16252479841915146,0.1656462079004879,0.03329279095221084,0.028355224505446745,0.008120045136731775,0.08042430830547578,0.060131481430785304,0.35092346086697246,0.007227239030850836,0.0042569608971251855,0.025658400897246532,0.130095810939528
CLUSTER13,4.9618552862014855,0.9411343724038775,1.7774300777289989,2.035101024613057,1.306422472654813,0.050780629202877944,0.27281780977520337,0.00337612813717748,0.00623507302261095,0.001062213257452941,0.002130901105682874,0.0,0.0051818056337411805,0.018085092383250356,0.00403354660587085,0.01268944471834278,0.00042717461971948656,0.0005982414450560052,0.0015699518261620264,0.0014476211313034463,0.0032364019485957417,0.003185667759055221,1.18000699792181,0.009144248246542318,0.024104338414349107,13.356205440691745,10.263271720463736,0.25951573286425283,4.361132678496621,0.6111372033523564,1.2797685759432167,0.42348337384901397,0.0033189293280964987,0.6388289973792619,0.1417888982099415,8.101953594422152,26.758590251147773
CLUSTER14,1.5941242100277544,17.985911237009176,2.3401207610161747,2.1269636751519476,3.770240606082583,3.034056216235492,0.9957053690029941,12.131308577582328,2.6465694053908844,0.6160557725516305,10.006656739452286,1.1592214521862847,8.512402599166045,26.942931631576375,5.894213158091853,2.4037138973404817,1.5555790753070335,1.435186010213539,6.051965915818634,2.158042532827367,4.641354795280989,8.609709456210226,5.834088047824255,1.4985967139703087,1.0908718739170626,15.034157466226842,20.6676701726831,2.7304624755877773,11.656571805265566,2.343968382924219,9.553525145509829,3.467547560288635,0.7945072530627546,2.6330784445600752,0.514000056925448,6.287028183687266,43.320500579868984
CLUSTER15,0.057997895880049416,2.7131940853423515,0.06758796519359854,0.052731393551016664,0.22746931778162344,0.8187813571716166,0.08774313222135563,16.690232613654086,0.6131782568701961,3.284161381877416,2.689918780496338,0.5058357050911931,4.392736247041322,35.18546274733013,5.454057944600164,3.825306298479533,7.893889801736126,2.6223232304437967,3.887962886579719,1.3398830846702712,10.745877629655359,11.752384514672906,13.109817067536097,2.3715014867348945,1.7309055367734403,0.3989791472675389,13.184207766540629,9.840814673425381,8.394184917661926,2.0070137277022213,6.785455939510594,2.065557294453833,3.7856056441820267,1.6178201587556253,0.04486141769080914,1.3552537837967034,0.9878849131722147
CLUSTER16,1.0333727062358655,12.626950574405406,0.9209042318302041,0.4458970555242123,0.8889504253605559,8.428742548483457,0.3590230321657059,0.37128266828473055,1.2583554024601558,0.03480207183810698,11.002245836086274,4.323078838969917,5.113379748470611,26.339390819640197,4.261803909610513,0.07225534385671581,0.16147582437177355,0.041039420172232555,0.09449190713369097,0.04233926614699458,0.26176192787527314,0.2609982054874952,1.1750399703908914,0.05335677743134438,0.0386359862899906,3.506667712954742,4.66588525394742,2.165761633884626,3.1950430433323787,0.8762965469195473,1.1035636242264109,0.6256323084875872,0.06667432135983667,1.298110079285355,0.1822231347936571,0.677343853716145,3.453782725811306
CLUSTER17,0.2640993018665749,0.4332350379914075,0.10366805146384184,0.04816985090538525,0.19571081267777674,0.058911089516026256,0.028935667331298456,5.880109803617197,0.0573415590404025,3.816117498241102,0.21295451953751593,0.0928850101424838,0.43599419085315216,0.5364766630244298,0.4907102961255787,4.821378437395166,1.017070978515382,0.4103791339238817,0.6767210033582666,0.35938465892095556,2.2399771866709433,4.135833022159382,22.382985774209164,2.8119242882325275,2.0647331116087617,0.5422486781336948,3.575786778606133,20.01870907810931,4.561548269405172,1.2221421743232277,7.954103247072781,1.5710362493077137,4.588304046293319,1.2526338844179528,0.016098266604600606,1.2127120909698372,1.7843588965063295
CLUSTER18,0.6997444312002441,0.7138053530845153,0.12368812583294304,0.16239437060277864,0.19955187313630365,0.18197948531933858,0.07828460791309562,11.99018783788999,0.16521741916027294,3.381332142412467,0.06481061357655878,0.16639622285402045,0.3835648429153888,0.2949321314475572,0.26990510865586653,1.7494863614551288,0.20268388504714674,1.430394351606171,1.8122877049769648,0.8092867493016289,9.433816508833143,8.159463046903822,5.52948568015292,1.0272631108355192,0.7745342875188352,1.01392156994146,2.8893437364103955,23.010929779895548,3.561463751981503,1.2258883288879412,2.3153264054723075,1.238861344483671,1.298315517742249,1.7334222293002064,0.03873050352489619,1.2386716213571947,3.645775373706773
