Cluster,Taxa
CLUSTER1,Gammaproteobacteria
CLUSTER10,Alphaproteobacteria
CLUSTER11   Bacteriodetes
CLUSTER12   Bacteriodetes
CLUSTER13   Thaumarchaeota
CLUSTER14   Betaproteobacteria
CLUSTER15   Actinobacteria
CLUSTER16   Gammaproteobacteria
CLUSTER17   Actinobacteria
CLUSTER18   Bacteroidetes
CLUSTER19   Actinobacteria
CLUSTER2    Actinobacteria
CLUSTER20   Alphaproteobacteria
CLUSTER21   Bacteroidetes
CLUSTER22   Bacteroidetes
CLUSTER23   Bacteroidetes
CLUSTER24   Verrucomicrobia
CLUSTER25   Actinobacteria
CLUSTER26   Gammaproteobacteria
CLUSTER27   Actinobacteria
CLUSTER28   Actinobacteria
CLUSTER29   Bacteroidetes
CLUSTER3    Gammaproteobacteria
CLUSTER30   Cyanobacteria
CLUSTER4    Actinobacteria
CLUSTER5    Alphaproteobacteria
CLUSTER6    Actinobacteria
CLUSTER7    Bacteroidetes
CLUSTER8    Bacteroidetes
CLUSTER9    Verrucomicrobia
