contig,length,cov_mean_sample_0314,cov_mean_sample_0322,cov_mean_sample_0328,cov_mean_sample_0403,cov_mean_sample_0416,cov_mean_sample_0419,cov_mean_sample_0423,cov_mean_sample_0507,cov_mean_sample_0516,cov_mean_sample_0521,cov_mean_sample_0531,cov_mean_sample_0604,cov_mean_sample_0613,cov_mean_sample_0619,cov_mean_sample_0628,cov_mean_sample_0705,cov_mean_sample_0709,cov_mean_sample_0717,cov_mean_sample_0802,cov_mean_sample_0806,cov_mean_sample_0813,cov_mean_sample_0820,cov_mean_sample_0823,cov_mean_sample_0828,cov_mean_sample_0903,cov_mean_sample_0910,cov_mean_sample_0920,cov_mean_sample_0924,cov_mean_sample_1001,cov_mean_sample_1004,cov_mean_sample_1015,cov_mean_sample_1022,cov_mean_sample_1028,cov_mean_sample_1105,cov_mean_sample_1123,cov_mean_sample_1128,cov_mean_sample_1220
contig-43000016,531,1.2523540000000002,5.92467,0.322034,0.76083,0.0,1.721281,0.190207,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.8870060000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
contig-153000694,1034,0.290136,5.773696,0.0,0.781432,1.313347,3.093807,0.195358,2.918761,0.390716,0.195358,0.781432,0.0,0.39071500000000003,2.509672,0.0,0.0,0.0,0.0,0.195358,0.0,0.195358,1.361703,0.134429,0.0,0.0,1.116054,1.8559,0.0,0.720503,0.185687,0.586074,0.0,0.0,0.0,0.0,0.586074,2.377177
contig-142000702,296,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.635126,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.047297,3.9898629999999997,0.34121599999999996,0.18918900000000002,0.0,0.0,0.0,0.28378400000000004,0.6824319999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
contig-63000079,716,0.282123,0.564245,0.0,0.0,0.0,1.551676,0.0,2.0977669999999997,0.358939,0.0,0.141061,0.0,2.82123,2.539108,0.423184,2.1703919999999997,0.0,0.279329,0.564246,0.141061,0.564245,2.041902,0.282123,0.0,0.0,1.090782,1.1270950000000002,0.0,1.410615,0.0,0.282123,0.9692729999999999,0.0,0.0,0.0,0.574022,0.9692729999999999
contig-35000227,674,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.198812,0.0,0.0,0.0,0.0,0.0,0.44361999999999996,0.522255,1.256677,0.0,0.0,0.29822,0.0,0.299703,0.599406,1.290801,0.0,0.0,0.0,0.599407,0.28783400000000003,1.465877,0.0,1.0489600000000001,2.505933,0.0,0.0,0.0,0.728487,0.44955500000000004
contig-116000590,272,5.124999,0.742648,3.136027,0.371324,0.22794099999999998,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.856618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7426470000000001
contig-80000980,377,0.0,16.132628,0.0,0.0,0.0,6.745360000000001,0.0,0.0,1.206896,0.0,0.0,0.265252,8.907160000000001,0.647215,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.498673,0.0,0.0,0.0,3.1114080000000004,5.4641910000000005,0.429708,1.395224,3.1008,1.278514,0.0,0.267905,0.0,0.0,0.0
contig-168000338,291,2.666664,4.381443,2.429553,0.0,1.88316,0.195876,0.6941579999999999,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.364262,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.49140900000000004
contig-63000801,892,0.22645700000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.113229,0.0,0.0,5.988792,0.0,0.0,25.734301000000002,0.45291400000000004,0.0,0.0,0.0,0.22645700000000002,0.22309400000000001,0.0,0.0,0.22645700000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7914800000000001,0.0,0.0,0.0,1.0493270000000001
contig-189000252,427,0.47306800000000004,0.0,0.23653400000000002,0.0,0.0,0.0,0.0,0.0,0.0,0.09601900000000001,0.9414530000000001,0.0,1.135832,0.47306800000000004,0.0,0.0,0.47306800000000004,0.0,3.374707,2.791569,2.536299,0.0,0.0,0.0,0.0,0.644027,0.0,1.177985,0.0,0.946134,4.15457,6.557377000000001,0.0,2.365339,0.0,0.0,0.468384
