target_id,kallisto_coverage_120314,kallisto_coverage_120322,kallisto_coverage_120521,kallisto_coverage_120717,kallisto_coverage_120820
contig-178000029.1,0.09639586568842713,12.050554276227707,6.083650190114068,7.978825041503776,7.904460986451026
contig-178001017,0.2333722287047841,0.0,4.404795799299883,7.001166861143523,4.249323220536756
contig-22000644,0.0,14.891179839633448,0.0,0.0,0.0
contig-40000913,0.0,5.040091638029782,0.0,0.0,0.0
contig-194000679,1.646769013587436,17.59678842421034,3.46441503440974,5.637162519851773,5.415704958531851
contig-80000581,16.842105263157894,0.0,0.0,0.0,0.0
contig-44000486.2,0.69014,25.463800000000003,5.96,1.418838,7.298660000000002
contig-111000524,0.0,0.0,0.5089058524173028,0.0,7.633587786259542
contig-52000405,3.163444639718805,6.854130052724078,4.042179261862917,0.0,0.0
contig-32000735,0.0,0.3048780487804878,2.4390243902439024,0.0,9.75609756097561
contig-98000677,0.0,0.7048458149779736,3.700440528634361,0.881057268722467,6.6960352422907485
contig-97000164,0.0,1.2539184952978055,0.0,0.0,0.0
contig-152000533,6.543230344134638,36.535895503642294,1.2431801055011305,10.762120070334086,6.374579251444361
contig-92000686.0,1.6323359999999998,13.665660000000003,20.0686,4.70386,43.9
contig-105000412,0.0,0.7936507936507936,0.0,0.0,0.1984126984126984
contig-105000577,0.0,18.92744479495268,0.0,0.0,0.0
contig-97000525,0.0,0.5830903790087464,0.0,14.577259475218659,0.2915451895043732
contig-86000508,2.2417174447174446,6.323734643734643,0.0,0.0,2.9124815724815725
contig-139000413,7.394366197183098,7.042253521126761,0.0,0.0,2.464788732394366
contig-151000515,0.0,0.0,0.0,0.0,0.0
contig-2000816,0.10548523206751054,4.878691983122363,0.0,0.0,0.026371308016877634
contig-24000848,0.5502063273727648,0.0,1.1004126547455295,0.5502063273727648,1.6506189821182942
contig-43000216,2.768166089965398,23.18339100346021,0.0,0.0,0.0
contig-113000339,0.9950248756218906,0.0,0.9950248756218906,0.0,0.0
contig-39000787,0.0,0.0,0.0,0.0,0.0
contig-102000773,0.16863406408094433,0.0,3.204047217537943,0.0,6.239460370994941
contig-24000537,0.10635594639865997,8.897068676716918,1.0050251256281406,0.08375209380234507,3.2925125628140703
contig-174000001,1.9880715705765408,1.9880715705765408,3.180914512922465,0.0,5.566600397614314
contig-93000448,0.0,0.0,4.2427971360381855,0.0,3.341288782816229
contig-1000495,0.5298923426838514,10.617892342683852,0.1347693707354056,0.3335860500379075,1.6600636846095524
contig-130000691,2.237136465324385,0.8948545861297539,5.369127516778524,0.0,1.7897091722595078
contig-28000238,1.7738508771929822,20.63254385964912,0.0,0.0,0.0
contig-26000808,0.1199040767386091,1.3189448441247003,0.0,0.1199040767386091,0.1199040767386091
contig-175000689,0.0,0.0,4.40771349862259,0.0,3.3057851239669422
contig-103000329,0.0,0.0,0.0,2.1321961620469083,4.690831556503198
contig-149000934,0.0,3.018867924528302,13.584905660377359,0.0,2.2641509433962264
contig-22000247,0.0,0.546448087431694,0.18214936247723132,0.0,2.914389799635701
contig-69000546,0.0,3.4503271861986913,0.3569303985722784,0.8328375966686495,11.89767995240928
contig-163000694,0.0,0.0,0.4319654427645789,1.2958963282937366,9.071274298056156
contig-172000406,0.4261914285714286,0.2857142857142857,3.162742857142857,0.0,4.4235999999999995
contig-125000403,0.0,0.0,10.619469026548673,13.274336283185843,7.964601769911504
contig-164000114,0.0,0.0,0.0,0.0,0.0
contig-92000534,1.8056345514950167,0.33222591362126247,0.0,0.0,0.0
contig-140000601,1.4814814814814816,0.0,0.7407407407407408,1.4814814814814816,3.7037037037037033
contig-89000759,0.15360983102918588,2.914761904761905,0.0,0.0,0.0
contig-92000400,0.0,0.0,0.0,0.0,3.3333333333333335
contig-72000027,4.986522911051213,8.086253369272237,0.13477088948787064,0.0,0.6738544474393532
contig-22000060.1,9.211438749257868e-05,0.6862477735998417,6.88070453196121,7.322165050465071,31.303779932713237
contig-146000420,0.0,2.4153067331670823,0.0,0.0,1.2468827930174564
contig-129000263,0.0,0.8146639511201629,0.0,0.0,0.40733197556008144
contig-93000672,0.6756756756756757,14.18918918918919,0.0,0.0,0.0
contig-181000675,0.641025641025641,21.367521367521366,0.0,0.0,1.0683760683760684
contig-37000513,0.3768506056527591,0.21534320323014802,0.0,0.6452382234185734,0.0
contig-139000475,0.0,0.0,0.0,0.0,5.9071729957805905
contig-96000522,0.0,0.0,0.0,0.0,2.0689655172413794
contig-30000860,2.1215043394406945,16.200578592092572,0.0,0.0,0.0
contig-46000749,2.19560878243513,22.15568862275449,0.0,0.0,0.19960079840319359
contig-84000187,0.19627085377821393,0.0,0.39254170755642787,4.317958783120707,10.99116781157998
contig-38000240,0.0,0.709279499728113,5.088118542686242,2.8415986949429035,3.794915715062534
contig-129000754,0.0,0.0,0.0,0.0,20.28985507246377
contig-77000762,1.8808777429467085,1.8808777429467085,4.38871473354232,6.269592476489027,1.2539184952978055
contig-568.4,0.05988621618924045,0.19962072063080147,0.0,3.6330971154805867,0.43916558538776324
contig-46000143,1.167883211678832,0.8759124087591241,0.0,4.087591240875913,1.167883211678832
contig-71000613,0.009072883172561629,4.261764916041443,0.0,3.62821722043587,0.4554548052876027
contig-47000680,0.0,0.0,1.8018018018018018,0.0,1.0810810810810811
contig-130000008,0.0,2.1031377393452746,0.0,0.0,3.9755033971587395
contig-169000318,1.6,0.0,12.8,0.0,0.0
contig-167000207,10.345981182795699,0.4032258064516129,0.0,0.0,0.2688172043010753
contig-53000958,0.0,0.0,0.0,0.0,0.7736943907156674
contig-195000758,0.0,4.230769230769231,0.0,0.0,6.153846153846154
contig-66000066,0.0,0.0,0.0,2.5945945945945943,5.837837837837838
contig-133000485,0.0,0.0,0.0,0.0,0.0
contig-37000363,0.14903129657228018,54.843517138599104,0.0,0.0,0.0
contig-95000171,1.0673967684021544,15.087612208258527,0.0,0.0,1.1865888689407542
contig-49.16,3.84,5.12,2.06,0.8200000000000001,1.9
contig-119000987,0.7326007326007326,21.978021978021978,0.0,0.0,0.7326007326007326
contig-193000369,1068.5117845117845,75.94074074074074,31.05104377104377,121.08282828282827,29.104713804713807
contig-177000252,0.0,2.2967815126050417,14.586470588235295,0.0,1.680672268907563
contig-155000486,0.0,6.909090909090909,4.0,0.0,0.0
contig-146000266,5.88235294117647,26.05042016806723,0.0,0.0,0.0
